Ruta,Etiqueta
flickr_cat_000002,cat
flickr_cat_000003,cat
flickr_cat_000004,cat
flickr_cat_000005,cat
flickr_cat_000006,cat
flickr_cat_000007,cat
flickr_cat_000009,cat
flickr_cat_000010,cat
flickr_cat_000012,cat
flickr_cat_000013,cat
flickr_cat_000014,cat
flickr_cat_000015,cat
flickr_cat_000017,cat
flickr_cat_000018,cat
flickr_cat_000019,cat
flickr_cat_000020,cat
flickr_cat_000021,cat
flickr_cat_000022,cat
flickr_cat_000023,cat
flickr_cat_000024,cat
flickr_cat_000025,cat
flickr_cat_000026,cat
flickr_cat_000027,cat
flickr_cat_000028,cat
flickr_cat_000029,cat
flickr_cat_000030,cat
flickr_cat_000031,cat
flickr_cat_000032,cat
flickr_cat_000033,cat
flickr_cat_000034,cat
flickr_cat_000035,cat
flickr_cat_000036,cat
flickr_cat_000037,cat
flickr_cat_000038,cat
flickr_cat_000039,cat
flickr_cat_000040,cat
flickr_cat_000041,cat
flickr_cat_000042,cat
flickr_cat_000043,cat
flickr_cat_000044,cat
flickr_cat_000045,cat
flickr_cat_000046,cat
flickr_cat_000047,cat
flickr_cat_000048,cat
flickr_cat_000049,cat
flickr_cat_000050,cat
flickr_cat_000051,cat
flickr_cat_000052,cat
flickr_cat_000053,cat
flickr_cat_000054,cat
flickr_cat_000055,cat
flickr_cat_000057,cat
flickr_cat_000058,cat
flickr_cat_000059,cat
flickr_cat_000060,cat
flickr_cat_000061,cat
flickr_cat_000062,cat
flickr_cat_000063,cat
flickr_cat_000064,cat
flickr_cat_000065,cat
flickr_cat_000066,cat
flickr_cat_000067,cat
flickr_cat_000068,cat
flickr_cat_000069,cat
flickr_cat_000070,cat
flickr_cat_000071,cat
flickr_cat_000072,cat
flickr_cat_000073,cat
flickr_cat_000074,cat
flickr_cat_000075,cat
flickr_cat_000077,cat
flickr_cat_000078,cat
flickr_cat_000079,cat
flickr_cat_000081,cat
flickr_cat_000082,cat
flickr_cat_000083,cat
flickr_cat_000084,cat
flickr_cat_000085,cat
flickr_cat_000086,cat
flickr_cat_000087,cat
flickr_cat_000088,cat
flickr_cat_000089,cat
flickr_cat_000090,cat
flickr_cat_000091,cat
flickr_cat_000092,cat
flickr_cat_000093,cat
flickr_cat_000094,cat
flickr_cat_000095,cat
flickr_cat_000097,cat
flickr_cat_000098,cat
flickr_cat_000099,cat
flickr_cat_000100,cat
flickr_cat_000101,cat
flickr_cat_000102,cat
flickr_cat_000103,cat
flickr_cat_000104,cat
flickr_cat_000105,cat
flickr_cat_000106,cat
flickr_cat_000107,cat
flickr_cat_000109,cat
flickr_cat_000110,cat
flickr_cat_000111,cat
flickr_cat_000112,cat
flickr_cat_000113,cat
flickr_cat_000114,cat
flickr_cat_000115,cat
flickr_cat_000116,cat
flickr_cat_000117,cat
flickr_cat_000118,cat
flickr_cat_000119,cat
flickr_cat_000120,cat
flickr_cat_000121,cat
flickr_cat_000122,cat
flickr_cat_000124,cat
flickr_cat_000125,cat
flickr_cat_000126,cat
flickr_cat_000127,cat
flickr_cat_000128,cat
flickr_cat_000129,cat
flickr_cat_000130,cat
flickr_cat_000131,cat
flickr_cat_000132,cat
flickr_cat_000133,cat
flickr_cat_000134,cat
flickr_cat_000135,cat
flickr_cat_000137,cat
flickr_cat_000138,cat
flickr_cat_000139,cat
flickr_cat_000140,cat
flickr_cat_000141,cat
flickr_cat_000142,cat
flickr_cat_000143,cat
flickr_cat_000144,cat
flickr_cat_000145,cat
flickr_cat_000146,cat
flickr_cat_000147,cat
flickr_cat_000148,cat
flickr_cat_000149,cat
flickr_cat_000150,cat
flickr_cat_000151,cat
flickr_cat_000153,cat
flickr_cat_000154,cat
flickr_cat_000155,cat
flickr_cat_000156,cat
flickr_cat_000157,cat
flickr_cat_000158,cat
flickr_cat_000159,cat
flickr_cat_000160,cat
flickr_cat_000161,cat
flickr_cat_000163,cat
flickr_cat_000164,cat
